Java Processes Log
iteration: 412 ; CPU: 3.48% ; MEM: 832.80 MB
iteration: 413 ; CPU: 3.48% ; MEM: 832.80 MB
iteration: 414 ; CPU: 3.48% ; MEM: 832.80 MB
iteration: 415 ; CPU: 3.48% ; MEM: 832.80 MB
iteration: 416 ; CPU: 3.45% ; MEM: 832.80 MB
iteration: 417 ; CPU: 3.45% ; MEM: 832.80 MB
iteration: 418 ; CPU: 3.45% ; MEM: 832.80 MB
iteration: 419 ; CPU: 3.45% ; MEM: 832.80 MB
iteration: 420 ; CPU: 3.45% ; MEM: 832.80 MB
iteration: 421 ; CPU: 3.41% ; MEM: 832.80 MB
iteration: 422 ; CPU: 3.43% ; MEM: 832.80 MB
iteration: 423 ; CPU: 3.43% ; MEM: 832.80 MB
iteration: 424 ; CPU: 3.43% ; MEM: 832.87 MB
iteration: 425 ; CPU: 3.40% ; MEM: 832.87 MB
iteration: 426 ; CPU: 3.40% ; MEM: 832.87 MB
iteration: 427 ; CPU: 3.41% ; MEM: 832.87 MB
iteration: 428 ; CPU: 3.41% ; MEM: 832.87 MB
iteration: 429 ; CPU: 3.41% ; MEM: 832.87 MB
iteration: 430 ; CPU: 3.38% ; MEM: 832.87 MB
iteration: 431 ; CPU: 3.40% ; MEM: 832.87 MB
iteration: 432 ; CPU: 3.40% ; MEM: 832.87 MB
iteration: 433 ; CPU: 3.40% ; MEM: 832.87 MB
iteration: 434 ; CPU: 3.36% ; MEM: 832.87 MB
iteration: 435 ; CPU: 3.36% ; MEM: 832.87 MB
iteration: 436 ; CPU: 3.36% ; MEM: 832.87 MB
iteration: 437 ; CPU: 3.38% ; MEM: 832.87 MB
