ROS Processes Log
iteration: 230 ; CPU: 68.56% ; MEM: 1905.44 MB
iteration: 231 ; CPU: 68.00% ; MEM: 1905.44 MB
iteration: 232 ; CPU: 68.25% ; MEM: 1905.44 MB
iteration: 233 ; CPU: 68.28% ; MEM: 1905.44 MB
iteration: 234 ; CPU: 68.48% ; MEM: 1905.44 MB
iteration: 235 ; CPU: 67.93% ; MEM: 1905.44 MB
iteration: 236 ; CPU: 68.15% ; MEM: 1905.44 MB
iteration: 237 ; CPU: 68.16% ; MEM: 1905.44 MB
iteration: 238 ; CPU: 68.25% ; MEM: 1905.44 MB
iteration: 239 ; CPU: 68.43% ; MEM: 1905.44 MB
iteration: 240 ; CPU: 67.88% ; MEM: 1905.44 MB
iteration: 241 ; CPU: 68.10% ; MEM: 1905.44 MB
iteration: 242 ; CPU: 68.15% ; MEM: 1905.44 MB
iteration: 243 ; CPU: 68.38% ; MEM: 1905.44 MB
iteration: 244 ; CPU: 67.85% ; MEM: 1905.44 MB
iteration: 245 ; CPU: 68.01% ; MEM: 1905.44 MB
iteration: 246 ; CPU: 68.08% ; MEM: 1905.44 MB
iteration: 247 ; CPU: 68.28% ; MEM: 1905.44 MB
iteration: 248 ; CPU: 67.78% ; MEM: 1905.44 MB
iteration: 249 ; CPU: 67.96% ; MEM: 1905.44 MB
iteration: 250 ; CPU: 67.98% ; MEM: 1905.44 MB
iteration: 251 ; CPU: 68.23% ; MEM: 1905.44 MB
iteration: 252 ; CPU: 67.70% ; MEM: 1905.44 MB
iteration: 253 ; CPU: 67.93% ; MEM: 1905.44 MB
iteration: 254 ; CPU: 68.15% ; MEM: 1905.44 MB
iteration: 255 ; CPU: 68.20% ; MEM: 1905.44 MB
iteration: 256 ; CPU: 67.83% ; MEM: 1905.44 MB
iteration: 257 ; CPU: 67.86% ; MEM: 1905.44 MB
iteration: 258 ; CPU: 68.08% ; MEM: 1905.44 MB
iteration: 259 ; CPU: 68.11% ; MEM: 1905.44 MB
iteration: 260 ; CPU: 67.78% ; MEM: 1905.44 MB
iteration: 261 ; CPU: 67.80% ; MEM: 1905.44 MB
iteration: 262 ; CPU: 68.01% ; MEM: 1905.44 MB
iteration: 263 ; CPU: 68.08% ; MEM: 1905.44 MB
iteration: 264 ; CPU: 67.71% ; MEM: 1905.44 MB
iteration: 265 ; CPU: 67.76% ; MEM: 1905.44 MB
iteration: 266 ; CPU: 67.96% ; MEM: 1905.44 MB
iteration: 267 ; CPU: 68.16% ; MEM: 1905.44 MB
iteration: 268 ; CPU: 67.63% ; MEM: 1905.44 MB
iteration: 269 ; CPU: 67.66% ; MEM: 1905.44 MB
iteration: 270 ; CPU: 67.90% ; MEM: 1905.44 MB
iteration: 271 ; CPU: 68.08% ; MEM: 1905.44 MB
iteration: 272 ; CPU: 67.60% ; MEM: 1905.44 MB
iteration: 273 ; CPU: 67.65% ; MEM: 1905.44 MB
iteration: 274 ; CPU: 67.85% ; MEM: 1905.44 MB
iteration: 275 ; CPU: 68.06% ; MEM: 1905.44 MB
iteration: 276 ; CPU: 67.53% ; MEM: 1905.44 MB
iteration: 277 ; CPU: 67.61% ; MEM: 1905.44 MB
iteration: 278 ; CPU: 67.83% ; MEM: 1905.44 MB
iteration: 279 ; CPU: 68.03% ; MEM: 1905.44 MB
iteration: 280 ; CPU: 68.05% ; MEM: 1905.44 MB
iteration: 281 ; CPU: 67.56% ; MEM: 1905.44 MB
iteration: 282 ; CPU: 67.76% ; MEM: 1905.44 MB
iteration: 283 ; CPU: 67.98% ; MEM: 1905.44 MB
iteration: 284 ; CPU: 67.98% ; MEM: 1905.44 MB
iteration: 285 ; CPU: 67.50% ; MEM: 1905.44 MB
iteration: 286 ; CPU: 67.68% ; MEM: 1905.44 MB
iteration: 287 ; CPU: 67.91% ; MEM: 1905.44 MB
iteration: 288 ; CPU: 67.93% ; MEM: 1905.44 MB
iteration: 289 ; CPU: 67.46% ; MEM: 1905.44 MB
iteration: 290 ; CPU: 67.65% ; MEM: 1905.44 MB
iteration: 291 ; CPU: 67.68% ; MEM: 1905.44 MB
iteration: 292 ; CPU: 67.86% ; MEM: 1905.65 MB
iteration: 293 ; CPU: 67.86% ; MEM: 1905.65 MB
iteration: 294 ; CPU: 67.41% ; MEM: 1905.65 MB
iteration: 295 ; CPU: 67.60% ; MEM: 1905.65 MB
iteration: 296 ; CPU: 67.81% ; MEM: 1905.65 MB
iteration: 297 ; CPU: 67.81% ; MEM: 1905.65 MB
iteration: 298 ; CPU: 67.35% ; MEM: 1905.65 MB
iteration: 299 ; CPU: 67.58% ; MEM: 1905.65 MB
iteration: 300 ; CPU: 67.78% ; MEM: 1905.65 MB
iteration: 301 ; CPU: 67.80% ; MEM: 1905.65 MB
iteration: 302 ; CPU: 67.80% ; MEM: 1905.65 MB
iteration: 303 ; CPU: 67.31% ; MEM: 1905.65 MB
iteration: 304 ; CPU: 67.53% ; MEM: 1905.65 MB
iteration: 305 ; CPU: 67.70% ; MEM: 1905.65 MB
iteration: 306 ; CPU: 67.76% ; MEM: 1905.65 MB
iteration: 307 ; CPU: 67.26% ; MEM: 1905.65 MB
iteration: 308 ; CPU: 67.46% ; MEM: 1905.65 MB
iteration: 309 ; CPU: 67.68% ; MEM: 1905.65 MB
iteration: 310 ; CPU: 67.70% ; MEM: 1905.65 MB
iteration: 311 ; CPU: 67.73% ; MEM: 1905.65 MB
iteration: 312 ; CPU: 67.43% ; MEM: 1905.65 MB
iteration: 313 ; CPU: 67.63% ; MEM: 1905.65 MB
iteration: 314 ; CPU: 67.70% ; MEM: 1905.65 MB
iteration: 315 ; CPU: 67.20% ; MEM: 1905.65 MB
iteration: 316 ; CPU: 67.40% ; MEM: 1905.65 MB
iteration: 317 ; CPU: 67.58% ; MEM: 1905.65 MB
iteration: 318 ; CPU: 67.63% ; MEM: 1905.65 MB
iteration: 319 ; CPU: 67.63% ; MEM: 1905.65 MB
iteration: 320 ; CPU: 67.16% ; MEM: 1905.65 MB
iteration: 321 ; CPU: 67.55% ; MEM: 1905.65 MB
iteration: 322 ; CPU: 67.60% ; MEM: 1905.65 MB
iteration: 323 ; CPU: 67.61% ; MEM: 1905.65 MB
iteration: 324 ; CPU: 67.06% ; MEM: 1905.65 MB
iteration: 325 ; CPU: 67.45% ; MEM: 1905.65 MB
iteration: 326 ; CPU: 67.50% ; MEM: 1905.74 MB
iteration: 327 ; CPU: 67.53% ; MEM: 1905.74 MB
iteration: 328 ; CPU: 67.03% ; MEM: 1905.74 MB
iteration: 329 ; CPU: 67.38% ; MEM: 1905.74 MB
